id.exposure,id.outcome,method,outcome,exposure,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,Q,Q_df,Q_pval,egger_intercept,egger_intercept_se,egger_intercept_pval,presso_global_pval
"sPxC9u","fvJDMQ","Inverse variance weighted","POI","asthma",121,0.0360587084657173,0.0276235281029732,0.191769555068853,-0.0180834066161103,0.0902008235475448,1.0367167087517,0.982079117046303,1.09439404173205,139.852199817599,120,0.103943512147648,NA,NA,NA,NA
"sPxC9u","fvJDMQ","MR Egger","POI","asthma",121,0.0144128147316739,0.067591354384146,0.831508871514247,-0.118066239861252,0.1468918693246,1.0145171801429,0.888637187461028,1.15822871620511,139.707439472929,119,0.0944059589906198,0.0011403659104484,0.00324754896470632,0.726099258996,NA
"sPxC9u","fvJDMQ","Weighted median","POI","asthma",121,0.0587071032140464,0.0427451933387613,0.169621817338627,-0.0250734757299258,0.142487682158019,1.06046458857826,0.975238253053272,1.15313887668742,NA,NA,NA,NA,NA,NA,NA
"sPxC9u","fvJDMQ","mr_ivw_steiger","POI","asthma",119,0.0483576633904213,0.0256863899059377,0.0597521372900187,-0.0019876608252167,0.0987029876060592,1.04954597237277,0.998014313264405,1.10373842687772,NA,NA,NA,NA,NA,NA,NA
"sPxC9u","fvJDMQ","mr_presso_raw","POI","asthma",121,0.0360587084657173,0.0276235281029732,0.194266843664186,NA,NA,1.0367167087517,0.982079117046303,1.09439404173205,NA,NA,NA,NA,NA,NA,0.092
"sPxC9u","fvJDMQ","mr_presso_corrected","POI","asthma",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092
