id.exposure,id.outcome,method,outcome,exposure,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,Q,Q_df,Q_pval,egger_intercept,egger_intercept_se,egger_intercept_pval,distortion_pval,presso_global_pval
"uJJpDX","LwaTSF","Inverse variance weighted","asthma","ReproGen",206,-0.000109748065051715,0.000353988962158685,0.75653628013187,-0.000803566430882737,0.000584070300779308,0.999890257957047,0.999196756342159,1.00058424090305,714.184188551574,205,1.55074618453509e-57,NA,NA,NA,NA,NA
"uJJpDX","LwaTSF","MR Egger","asthma","ReproGen",206,-0.00260059828252671,0.00193822127182302,0.181170353289821,-0.00639951197529984,0.00119831541024641,0.997402780343736,0.993620921290583,1.00119903367703,708.253178262159,204,6.92799752699148e-57,0.0055987495878586,0.00428357018495727,0.192674294054846,NA,NA
"uJJpDX","LwaTSF","Weighted median","asthma","ReproGen",206,-0.000220627847987914,0.00030511953753415,0.469626683331688,-0.000818662141554848,0.00037740644557902,0.999779396488546,0.999181672870869,1.00037747767235,NA,NA,NA,NA,NA,NA,NA,NA
"uJJpDX","LwaTSF","mr_presso_raw","asthma","ReproGen",206,-0.000109748065051715,0.000353988962158685,0.756851223462043,-0.000803566430882737,0.000584070300779308,0.999890257957047,0.999196756342159,1.00058424090305,NA,NA,NA,NA,NA,NA,0.7328,"<2e-04"
"uJJpDX","LwaTSF","mr_presso_corrected","asthma","ReproGen",199,-0.000255376514578352,0.0002745045145426,0.35333928357289,-0.000793405363081848,0.000282652333925145,0.999744656091228,0.999206909299729,1.00028269228386,NA,NA,NA,NA,NA,NA,0.7328,"<2e-04"
