id.exposure,id.outcome,method,outcome,exposure,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,Q,Q_df,Q_pval,egger_intercept,egger_intercept_se,egger_intercept_pval,distortion_pval,presso_global_pval
"hYkjFH","GT5tcJ","Inverse variance weighted","ANM","asthma",120,-0.0216059252202308,0.0508351230714517,0.670822364542381,-0.121242766440276,0.0780309159998144,0.978625810824253,0.885818886389876,1.08115608317467,959.082621492404,119,2.32733406147937e-131,NA,NA,NA,NA,NA
"hYkjFH","GT5tcJ","MR Egger","ANM","asthma",120,-0.16003140904652,0.12556710381607,0.205001264202181,-0.406142932526018,0.0860801144329779,0.85211702436263,0.666214936835482,1.08989364101863,947.420966431359,118,1.3655586746346e-129,0.00723264828521015,0.00600133324023217,0.230547648484247,NA,NA
"hYkjFH","GT5tcJ","Weighted median","ANM","asthma",120,-0.0372219606844397,0.0324965107769674,0.252037672478679,-0.100915121807296,0.0264712004384163,0.963462260871214,0.904009760344219,1.02682467473539,NA,NA,NA,NA,NA,NA,NA,NA
"hYkjFH","GT5tcJ","mr_ivw_steiger","ANM","asthma",98,-0.0825388275049497,0.030918280239039,0.00759461426286266,-0.143138656773466,-0.0219389982364334,0.920775685740231,0.866633895904499,0.978299911250898,NA,NA,NA,NA,NA,NA,NA,NA
"hYkjFH","GT5tcJ","mr_presso_raw","ANM","asthma",120,-0.0216059252202308,0.0508351230714517,0.671589902832204,NA,NA,0.978625810824253,0.885818886389876,1.08115608317467,NA,NA,NA,NA,NA,NA,0.493,"<0.001"
"hYkjFH","GT5tcJ","mr_presso_corrected","ANM","asthma",105,-0.0538723671087673,0.025987426341962,0.0406425744348889,NA,NA,0.947553037718034,0.900497651163279,0.997067297320328,NA,NA,NA,NA,NA,NA,0.493,"<0.001"
