id.exposure,id.outcome,method,outcome,exposure,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,Q,Q_df,Q_pval,egger_intercept,egger_intercept_se,egger_intercept_pval,presso_global_pval
"stys5B","jqeMdL","Inverse variance weighted","POI","asthma",121,0.0360587084657173,0.0276235281029732,0.191769555068853,-0.0180834066161103,0.0902008235475448,1.0367167087517,0.982079117046303,1.09439404173205,139.852199817599,120,0.103943512147648,NA,NA,NA,NA
"stys5B","jqeMdL","MR Egger","POI","asthma",121,0.0144128147316739,0.067591354384146,0.831508871514247,-0.118066239861252,0.1468918693246,1.0145171801429,0.888637187461028,1.15822871620511,139.707439472929,119,0.0944059589906198,0.0011403659104484,0.00324754896470632,0.726099258996,NA
"stys5B","jqeMdL","Weighted median","POI","asthma",121,0.0587071032140464,0.0421533260428221,0.163709337040943,-0.0239134158298849,0.141327622257978,1.06046458857826,0.976370244305508,1.15180194212941,NA,NA,NA,NA,NA,NA,NA
"stys5B","jqeMdL","mr_presso_raw","POI","asthma",121,0.0360587084657173,0.0276235281029732,0.194266843664186,NA,NA,1.0367167087517,0.982079117046303,1.09439404173205,NA,NA,NA,NA,NA,NA,0.096
"stys5B","jqeMdL","mr_presso_corrected","POI","asthma",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096
