id.exposure,id.outcome,method,outcome,exposure,nsnp,b,se,pval,lo_ci,up_ci,Q,Q_df,Q_pval,egger_intercept,egger_intercept_se,egger_intercept_pval,distortion_pval,presso_global_pval
"qlUEbD","atAwsp","Inverse variance weighted","ReproGen","asthma",485,-0.0718044641013527,0.0323896548492764,0.0266302670700164,-0.135288187605934,-0.00832074059677104,2688.21537333305,484,2.03424280732532e-301,NA,NA,NA,NA,NA
"qlUEbD","atAwsp","MR Egger","ReproGen","asthma",485,-0.005568748299851,0.0719469262712796,0.938336771555632,-0.146584723791559,0.135447227191857,2682.3124190964,483,9.71931652391132e-301,-0.00402769701642131,0.00390663826816901,0.30306244197689,NA,NA
"qlUEbD","atAwsp","Weighted median","ReproGen","asthma",485,-0.0132085060820179,0.0263403601861248,0.616050919855563,-0.0648356120468225,0.0384185998827868,NA,NA,NA,NA,NA,NA,NA,NA
"qlUEbD","atAwsp","mr_ivw_steiger","ReproGen","asthma",155,0.0297485258927381,0.0211966104920998,0.160480682932303,-0.0117968306717775,0.0712938824572538,NA,NA,NA,NA,NA,NA,NA,NA
"qlUEbD","atAwsp","mr_presso_raw","ReproGen","asthma",485,-0.0718044641013527,0.0323896548492764,0.0270942597427483,-0.135288187605934,-0.00832074059677104,NA,NA,NA,NA,NA,NA,0.1156,"<2e-04"
"qlUEbD","atAwsp","mr_presso_corrected","ReproGen","asthma",440,-0.0468570521353065,0.0228419697359351,0.0408249837759992,-0.0916273128177392,-0.00208679145287374,NA,NA,NA,NA,NA,NA,0.1156,"<2e-04"
