id.exposure,id.outcome,method,outcome,exposure,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,Q,Q_df,Q_pval,egger_intercept,egger_intercept_se,egger_intercept_pval,distortion_pval,presso_global_pval
"jyYVi1","9hEpNz","Inverse variance weighted","asthma","POI",15,0.0303442987198079,0.0537902293384947,0.572670512519829,-0.0750845507836417,0.135773148223257,1.03080937921326,0.927665048205814,1.14542202309887,213.947195172682,14,7.67542505464067e-38,NA,NA,NA,NA,NA
"jyYVi1","9hEpNz","MR Egger","asthma","POI",15,-0.0872383214100793,0.14897892642275,0.568187972386332,-0.379237017198669,0.20476037437851,0.916458657885364,0.684383382809196,1.22723095374629,202.741564227103,13,3.73681756539579e-36,0.0128058623471437,0.0151074230904048,0.411965724475913,NA,NA
"jyYVi1","9hEpNz","Weighted median","asthma","POI",15,-0.0343513137630311,0.0202408243751244,0.0896720529626478,-0.0740233295382749,0.00532070201221279,0.966231994405774,0.928650028612182,1.00533488208532,NA,NA,NA,NA,NA,NA,NA,NA
"jyYVi1","9hEpNz","mr_ivw_steiger","asthma","POI",14,-0.0109841303463886,0.0273737902726828,0.688225395204224,-0.064636759280847,0.0426684985880698,0.98907597494394,0.937407906264312,1.043591885319,NA,NA,NA,NA,NA,NA,NA,NA
"jyYVi1","9hEpNz","mr_presso_raw","asthma","POI",15,0.0303442987198079,0.0537902293384947,0.581595847308968,NA,NA,1.03080937921326,0.927665048205814,1.14542202309887,NA,NA,NA,NA,NA,NA,"<0.001","<0.001"
"jyYVi1","9hEpNz","mr_presso_corrected","asthma","POI",11,0.00492365543600646,0.0185118395843265,0.795662989409297,NA,NA,1.00493579654547,0.969127060646612,1.0420676464288,NA,NA,NA,NA,NA,NA,"<0.001","<0.001"
